id,name,age,score
1,Jack,NULL,12
17,Betty,28,11
3,Alice,34,15
22,Carlos,29,10
45,Emma,40,NULL
6,Michael,42,13
11,Sarah,31,NULL
29,Omar,22,9
33,Lena,25,14
50,Ian,37,12
8,Maria,30,15
14,Liam,27,NULL
20,Ana,33,10
36,Jorge,39,8
48,Eva,41,NULL
51,Paul,24,9
18,Grace,38,NULL
7,Simon,27,14
23,Rita,35,10
46,Steve,43,NULL
9,Julia,29,13
12,Victor,32,NULL
30,Tina,21,9
34,Rachel,26,14
52,Adam,36,12
10,Nora,31,15
15,Max,28,NULL
21,Lucy,34,10
37,Alex,40,8
49,Ivy,42,NULL
53,Ben,23,9
19,Daisy,37,NULL
38,Joe,26,14
39,Karen,44,16
40,Oliver,47,8
41,Helen,35,NULL
42,Gary,31,7
43,Julie,29,15
54,Elaine,38,13
55,Nick,27,NULL
56,Monica,33,12
57,Derek,21,11
58,Sophie,45,10
59,Colin,48,NULL
60,Denise,26,14
61,Brian,37,9
62,Claire,29,NULL
63,Neil,32,8
64,Fiona,41,15
65,Marvin,23,13
66,Diana,36,NULL
67,Kyle,28,12
68,Laura,34,11
69,Terry,46,10
70,Stephanie,47,NULL
71,William,25,14
72,Elizabeth,39,NULL
73,Michael,33,12
74,Isabella,28,11
75,Matthew,41,9
76,Olivia,30,15
77,Andrew,36,13
78,Sarah,27,NULL
79,James,35,10
80,Emily,29,12
81,John,30,12
82,Emily,28,NULL
83,William,35,14
84,Sophia,32,13
85,James,29,11
86,Olivia,27,NULL
87,Robert,38,15
88,Emma,31,10
89,Michael,37,NULL
90,Isabella,26,12
91,David,33,14
92,Charlotte,29,13
93,Joseph,36,NULL
94,Ava,25,11
95,Charles,40,15
96,Amelia,27,NULL
97,Richard,34,12
98,Mia,31,10
99,Thomas,28,NULL
100,Ella,37,14
101,Christopher,33,13
102,Grace,30,12
103,Andrew,39,NULL
104,Chloe,29,11
105,Daniel,35,15
106,Lily,28,NULL
107,Matthew,32,14
108,Lucy,26,13
109,Joshua,31,NULL
110,Sophie,38,12
111,Nicholas,27,15
112,Harper,34,NULL
113,Brandon,30,14
114,Zoe,29,13
115,Jonathan,36,NULL
116,Evelyn,25,12
117,Justin,32,11
118,Natalie,38,15
119,Alexander,27,NULL
120,Victoria,35,10
121,Kevin,31,13
122,Addison,29,NULL
123,Brian,37,14
124,Avery,30,12
125,Ryan,33,NULL
126,Aubrey,28,15
127,Nathan,34,11
128,Scarlett,26,14
129,Anthony,39,NULL
130,Stella,29,12
